Feature,Importance
Copper_Return_5d,3.5317708377738706
net_constraint_risk_VIX_Change,3.4770913637654743
net_constraint_per_NASDAQ_Return,3.3699144486383195
AStock_Regime_Momentum,2.8282414147957615
Oil_Return_5d,2.6739343507693034
net_constraint_risk_VIX_Level,2.519046692689108
Copper_Return_20d,2.4879622361013163
net_constraint_per_SP500_Return,2.386909712211503
net_constraint_per_NASDAQ_Return_5d,2.3287488301673527
Oil_Return_20d,2.092347806578216
net_constraint_US_10Y_Yield,1.8701804142233411
net_constraint_CN_10Y_Yield,1.7461680138667295
net_constraint_per_SP500_Return_5d,1.7365431544857999
net_constraint_per_NASDAQ_Return_20d,1.4757620611291467
net_constraint_US_30Y_Yield,1.4119838312663808
net_constraint_per_SP500_Return_20d,1.4045760460163708
net_constraint_risk_VIX_Ratio_MA20,1.3193476050980304
net_constraint_US_2Y_Yield,1.0099535812010543
net_constraint_per_CN_US_10Y_Spread,0.972600862817831
Return_1d,0.7489693451207958
net_effsize_SP500_Return_5d,0.5336891084298044
net_effsize_NASDAQ_Return,0.5054523576378659
net_centrality_SP500_Return,0.49555622974839575
5d_Trend_CN_10Y_Yield,0.48433078699158166
net_effsize_SP500_Return,0.45961824973499826
anomaly_if_score,0.45191901366653925
Return_250d,0.445426912895881
Volatility_Mean_60d,0.4240026535982355
60d_Trend_NASDAQ_Return_20d,0.4239662747089916
net_centrality_NASDAQ_Return_5d,0.41189304996371273
AStock_Regime_Expected_Duration,0.4027729769252141
Overnight_Intraday_Ratio,0.39282717162349745
net_effsize_NASDAQ_Return_5d,0.3814000413807121
Trend_Slope_60d,0.3787973219112106
Volume_Ratio_120d,0.34012292909176045
AStock_Regime_Switch_Prob_5d,0.32928488683470086
Space_To_Limit_Up,0.32066224353112516
Kurtosis_5d,0.3147274886575684
ATR_Change_10d,0.30941884812294407
net_centrality_SP500_Return_20d,0.3028215641708792
RSI_120,0.29318612167858554
net_effsize_per_VIX_Change,0.29006094899996554
anomaly_volume_zscore,0.28960979005084386
5d_Trend_VIX_Level,0.28216500672677985
Price_Return_1d,0.2791398891820704
Intraday_Amplitude,0.27884723920195276
MA250_Slope,0.27649024774837755
Volatility_70pct,0.2670966979431764
Overnight_Vol_5d,0.2607500617377802
10d_Trend_SP500_Return_5d,0.25970941623748645
