Feature,Importance
Oil_Return_20d,4.153050727177522
AStock_Regime_Momentum,3.412666042684367
Copper_Return_20d,3.0877227936614533
net_constraint_US_2Y_Yield,2.928479281210807
Copper_Return_5d,2.4997080277772565
Oil_Return_5d,2.172463371624222
net_constraint_risk_VIX_Level,1.9781915254985052
net_constraint_US_30Y_Yield,1.9074051956983977
net_constraint_CN_10Y_Yield,1.8453942216217893
Volatility_Mean_60d,1.6701335325062874
net_constraint_per_SP500_Return_20d,1.6298372399132577
net_constraint_per_CN_US_10Y_Spread,1.4989006462949277
net_constraint_risk_VIX_Ratio_MA20,1.336733667162511
net_constraint_per_NASDAQ_Return_20d,1.2177942914592377
net_constraint_US_10Y_Yield,1.211972487177494
net_constraint_per_SP500_Return_5d,0.9202445271227205
MA250_Slope,0.6885859959099347
MA250_Deviation,0.6429358627493827
anomaly_if_score,0.6323208366999072
RSI_Deviation_MA20,0.5651872815725604
ADX,0.539177353686061
BB_Width_Normalized,0.5257469558243953
Trend_Slope_60d,0.5229074125692619
Volatility_70pct,0.5169924710272117
BB_Width_MA60,0.5115884000242131
Volume_Volatility,0.49954228849573323
Return_1d,0.4947369477622922
Volatility_30d,0.4918349293657273
Volatility_30pct,0.46766439035978347
STR_Signal,0.4431464066591552
AStock_Regime_Switch_Prob_5d,0.4420613616179594
ATR_Ratio_120d,0.4382805309511603
Channel_Width_Ratio_20d,0.4359699578829591
cyclical_score,0.43101322575941053
net_constraint_per_NASDAQ_Return_5d,0.4296546499299157
60d_Trend_VIX_Level,0.40950381863692786
Skewness_20d,0.40796111627377096
High_Limit,0.40377256560375135
net_comm_2_Hybrid_Vol_Trend,0.38875686947606214
Volatility_120d,0.38697205328614986
Skewness_5d,0.3861249872511858
net_constraint_risk_VIX_Change,0.3806793583956111
sentiment_ma14,0.37355318505805235
Trend_Vol_Match,0.3727820492971972
BB_Width,0.37110011833025824
Intraday_Range_MA20,0.36166999860370797
AStock_Regime_Expected_Duration,0.3464239304161847
MA120_Slope,0.34553245194773596
Volatility_10d,0.3384665813360269
Volatility_20d,0.33734210826025396
