Feature,Importance
net_constraint_CN_10Y_Yield,3.191502940443132
net_constraint_US_2Y_Yield,3.1036955393745442
Oil_Return_20d,1.8732834851689535
MA250_Slope,1.8666191962723069
net_constraint_US_30Y_Yield,1.8428391398939568
Volatility_Mean_60d,1.526490579836042
Volatility_30pct,1.5032153358397364
Volatility_70pct,1.480293740261003
AStock_Regime_Momentum,1.465854462636929
High_Limit,1.4480026713581213
AStock_Regime_Expected_Duration,1.4448663772824066
Copper_Return_20d,1.4117546674999424
BB_Width_MA60,1.4094867254981605
net_constraint_per_CN_US_10Y_Spread,1.348540824389126
AStock_Regime_Switch_Prob_5d,1.208063486583795
Market_Cap,1.100254347457049
net_constraint_risk_VIX_Level,1.093323510184362
MA120_Slope,1.0580821580540811
RSI_Deviation_MA20,0.9783632718516749
Return_60d,0.930082819314751
anomaly_count_30d,0.9178059153147022
net_constraint_risk_VIX_Ratio_MA20,0.8670428047463924
net_constraint_per_SP500_Return_20d,0.8643024106807774
PB,0.8568438424891925
PE,0.8154705815431568
Distance_Support_120d,0.781086748330198
Channel_Width_Ratio_20d,0.7757709223359771
cyclical_score,0.7700423152095996
Volume_Trend_Long,0.7514342181191201
Volatility_120d,0.7380108677755974
Return_250d,0.7380045796279635
Trend_Vol_Match,0.7116694036057438
Low_Limit,0.6559844244179889
sentiment_volatility,0.6547986702036972
net_closeness_centrality,0.6391137904157224
net_comm_1_US_30Y_Yield,0.63363672941961
net_constraint_US_10Y_Yield,0.6228661856667091
Momentum_Accel_120d,0.6206295124354602
is_core,0.6051669909349812
Kurtosis_20d,0.5995958412133509
Volatility_60d,0.5826193478921042
growth_score,0.550957239438002
net_constraint_per_NASDAQ_Return_20d,0.5439965943006587
Trend_Slope_60d,0.5389401703720926
Volatility_30d,0.53777136079275
ADX,0.5272252260868208
sentiment_ma7,0.5240674691782802
Sentiment_Gap_MA14,0.5216118822325047
Market_Regime_Change_Freq,0.5155579601912716
stock_type_sector,0.5016504350013457
